epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,502.155,1.08976,0.89378,1.61476,0.82728,0.80549,0.85814,0.62819,0.97629,0.75719,1.53434,0.00080401,0.00080401,0.00080401
16,534.345,1.10166,0.90022,1.63126,0.82467,0.81794,0.86464,0.63315,0.97549,0.77526,1.50561,0.000796511,0.000796511,0.000796511
17,568.073,1.0855,0.88686,1.61484,0.8496,0.78632,0.86467,0.65155,0.93985,0.73135,1.53709,0.000789012,0.000789012,0.000789012
18,599.221,1.07097,0.8718,1.61214,0.84388,0.79656,0.8706,0.65206,0.93761,0.71792,1.53503,0.000781513,0.000781513,0.000781513
19,635.232,1.08148,0.87571,1.61311,0.8517,0.80731,0.87627,0.66318,0.92366,0.70586,1.48971,0.000774013,0.000774013,0.000774013
20,664.298,1.05289,0.85183,1.59696,0.85832,0.8048,0.87939,0.65728,0.92748,0.71262,1.47669,0.000766514,0.000766514,0.000766514
21,696.88,1.0607,0.84961,1.60379,0.85834,0.80742,0.87866,0.65796,0.916,0.69926,1.47828,0.000759015,0.000759015,0.000759015
22,732.56,1.05015,0.84743,1.60086,0.87903,0.79782,0.88625,0.66276,0.91701,0.70432,1.48387,0.000751516,0.000751516,0.000751516
23,761.353,1.05005,0.84208,1.5979,0.84501,0.82749,0.88196,0.66606,0.90073,0.70459,1.47893,0.000744016,0.000744016,0.000744016
24,793.234,1.04291,0.83954,1.58943,0.86797,0.82346,0.8897,0.67595,0.89759,0.68084,1.46866,0.000736517,0.000736517,0.000736517
25,827.372,1.03262,0.82693,1.59901,0.82858,0.83361,0.88833,0.67207,0.90498,0.6948,1.47233,0.000729018,0.000729018,0.000729018
26,857.869,1.0364,0.82796,1.59267,0.87328,0.82422,0.89061,0.68137,0.90192,0.67368,1.47101,0.000721519,0.000721519,0.000721519
27,892.442,1.02962,0.82514,1.58375,0.8584,0.82353,0.88528,0.67543,0.89159,0.6949,1.46851,0.000714019,0.000714019,0.000714019
28,923.42,1.0235,0.80864,1.56767,0.86862,0.83052,0.89464,0.68928,0.86308,0.65142,1.46579,0.00070652,0.00070652,0.00070652
29,955.494,1.00773,0.79479,1.5662,0.84922,0.82767,0.88807,0.67166,0.89434,0.68299,1.48341,0.000699021,0.000699021,0.000699021
30,990.725,1.00431,0.79576,1.56738,0.86338,0.84167,0.90213,0.68486,0.86711,0.66072,1.46666,0.000691522,0.000691522,0.000691522
31,1020.17,0.99842,0.79049,1.56262,0.85904,0.84078,0.89989,0.69162,0.87057,0.64776,1.4548,0.000684022,0.000684022,0.000684022
32,1050.92,1.00773,0.79683,1.56976,0.85512,0.85135,0.89913,0.68772,0.86902,0.66896,1.47915,0.000676523,0.000676523,0.000676523
33,1084.55,1.0106,0.79974,1.57657,0.87934,0.84227,0.90166,0.68822,0.86575,0.64709,1.478,0.000669024,0.000669024,0.000669024
34,1117.71,0.99855,0.78584,1.56599,0.87131,0.83221,0.89854,0.68764,0.87542,0.65936,1.47613,0.000661525,0.000661525,0.000661525
35,1150.21,0.98161,0.77356,1.55168,0.87005,0.83793,0.90323,0.70386,0.85005,0.65805,1.45483,0.000654025,0.000654025,0.000654025
36,1183.01,0.98294,0.77605,1.54874,0.86872,0.84233,0.90144,0.69351,0.86592,0.66004,1.46686,0.000646526,0.000646526,0.000646526
37,1212.73,0.98618,0.76906,1.55826,0.87801,0.85005,0.90787,0.70615,0.84953,0.64528,1.44158,0.000639027,0.000639027,0.000639027
38,1245.54,0.98473,0.77612,1.55856,0.8472,0.8459,0.89934,0.69331,0.84985,0.64622,1.45384,0.000631528,0.000631528,0.000631528
39,1279.4,0.97886,0.77353,1.55337,0.88989,0.82664,0.90926,0.70346,0.85234,0.63784,1.43187,0.000624028,0.000624028,0.000624028
40,1311.41,0.9567,0.75424,1.53821,0.87548,0.86421,0.91112,0.70376,0.85237,0.62909,1.43149,0.000616529,0.000616529,0.000616529
41,1343.27,0.97221,0.76585,1.55246,0.88753,0.84785,0.91294,0.69498,0.83798,0.62937,1.43789,0.00060903,0.00060903,0.00060903
42,1378.63,0.96328,0.75465,1.54252,0.85708,0.85636,0.91119,0.70731,0.82532,0.61857,1.45001,0.000601531,0.000601531,0.000601531
43,1410.53,0.97532,0.7648,1.54905,0.89901,0.82703,0.90987,0.70689,0.85062,0.64224,1.42515,0.000594031,0.000594031,0.000594031
44,1446.1,0.96182,0.75363,1.54548,0.88014,0.84202,0.91306,0.69618,0.84566,0.6335,1.43429,0.000586532,0.000586532,0.000586532
45,1475.74,0.95567,0.75095,1.5438,0.87942,0.86267,0.91785,0.71615,0.82716,0.62093,1.44303,0.000579033,0.000579033,0.000579033
46,1506.13,0.95786,0.75014,1.53427,0.87334,0.83956,0.91793,0.71383,0.81864,0.62581,1.43381,0.000571534,0.000571534,0.000571534
47,1540.83,0.95437,0.74675,1.53771,0.87047,0.86471,0.91399,0.71821,0.82687,0.62186,1.45137,0.000564034,0.000564034,0.000564034
48,1570.42,0.92929,0.72682,1.52384,0.8736,0.86181,0.91849,0.71846,0.82115,0.62584,1.44436,0.000556535,0.000556535,0.000556535
49,1603.69,0.9478,0.74045,1.5372,0.86876,0.85288,0.91356,0.71194,0.82694,0.62118,1.45298,0.000549036,0.000549036,0.000549036
50,1638.12,0.93419,0.73182,1.52371,0.87735,0.85053,0.91564,0.71134,0.8246,0.63283,1.4587,0.000541537,0.000541537,0.000541537
51,1666.54,0.9272,0.72345,1.52192,0.87335,0.86936,0.92156,0.7224,0.81651,0.59383,1.4383,0.000534037,0.000534037,0.000534037
52,1702.9,0.9387,0.72979,1.53499,0.88203,0.86014,0.91873,0.71973,0.81234,0.61202,1.45958,0.000526538,0.000526538,0.000526538
53,1733.39,0.92197,0.71901,1.51873,0.89178,0.85841,0.92559,0.72692,0.80998,0.60848,1.42895,0.000519039,0.000519039,0.000519039
54,1764.33,0.92525,0.72442,1.52812,0.89382,0.86314,0.92547,0.72603,0.80041,0.60622,1.44832,0.00051154,0.00051154,0.00051154
55,1798.45,0.92634,0.71618,1.51752,0.88068,0.87392,0.92312,0.72516,0.80632,0.60717,1.42914,0.00050404,0.00050404,0.00050404
56,1832.76,0.93319,0.72139,1.52694,0.88453,0.87372,0.92293,0.72886,0.79701,0.59166,1.42027,0.000496541,0.000496541,0.000496541
57,1861.45,0.92167,0.71515,1.51586,0.88313,0.87947,0.92612,0.72243,0.80193,0.61266,1.42773,0.000489042,0.000489042,0.000489042
58,1893.68,0.92129,0.7183,1.51463,0.87755,0.87875,0.92368,0.73056,0.79502,0.60754,1.44011,0.000481543,0.000481543,0.000481543
59,1926.02,0.92938,0.72547,1.51458,0.89334,0.86307,0.92558,0.72986,0.79882,0.59921,1.42826,0.000474043,0.000474043,0.000474043
60,1959.42,0.91386,0.70363,1.51066,0.86563,0.88655,0.92684,0.73461,0.78956,0.58722,1.43623,0.000466544,0.000466544,0.000466544
61,1990.81,0.90904,0.7096,1.50432,0.88918,0.87561,0.93042,0.72787,0.8056,0.58987,1.4185,0.000459045,0.000459045,0.000459045
62,2023.28,0.91402,0.71347,1.51462,0.88959,0.87,0.92911,0.73666,0.77854,0.58388,1.42385,0.000451546,0.000451546,0.000451546
63,2054.08,0.90673,0.70309,1.51045,0.90567,0.85419,0.92851,0.72867,0.80055,0.60187,1.42844,0.000444046,0.000444046,0.000444046
64,2088.71,0.90564,0.70358,1.50603,0.89473,0.86937,0.92993,0.7413,0.77236,0.58405,1.41626,0.000436547,0.000436547,0.000436547
65,2120.76,0.90484,0.70311,1.51069,0.86499,0.88705,0.92856,0.73461,0.78593,0.58482,1.42807,0.000429048,0.000429048,0.000429048
66,2154.7,0.89476,0.69393,1.50652,0.89388,0.86395,0.92621,0.7331,0.77827,0.61879,1.4238,0.000421549,0.000421549,0.000421549
67,2187.27,0.87851,0.68178,1.49405,0.88151,0.86791,0.92742,0.73012,0.79846,0.6023,1.43118,0.000414049,0.000414049,0.000414049
68,2218.48,0.89631,0.69463,1.49725,0.88887,0.87006,0.92957,0.72725,0.79392,0.59976,1.45831,0.00040655,0.00040655,0.00040655
69,2252.95,0.89303,0.69225,1.49752,0.86779,0.88682,0.93022,0.73648,0.77911,0.59578,1.41612,0.000399051,0.000399051,0.000399051
70,2281.78,0.87961,0.68272,1.49395,0.89784,0.87794,0.93373,0.74234,0.77571,0.58121,1.42088,0.000391552,0.000391552,0.000391552
71,2313.28,0.8826,0.67994,1.49257,0.90035,0.87064,0.93301,0.74346,0.77073,0.58022,1.42564,0.000384052,0.000384052,0.000384052
72,2348.31,0.87777,0.68153,1.49213,0.89364,0.89081,0.93822,0.74727,0.76384,0.57944,1.41746,0.000376553,0.000376553,0.000376553
73,2378.28,0.88052,0.68547,1.49599,0.88592,0.88165,0.93406,0.74082,0.77524,0.59033,1.4177,0.000369054,0.000369054,0.000369054
74,2413.74,0.88126,0.68404,1.49183,0.8977,0.86565,0.93294,0.74365,0.76857,0.57613,1.43075,0.000361555,0.000361555,0.000361555
75,2442.77,0.87792,0.68124,1.49834,0.88075,0.88444,0.93259,0.74407,0.76273,0.57461,1.41205,0.000354055,0.000354055,0.000354055
76,2476.28,0.88223,0.68594,1.49421,0.90768,0.87741,0.93756,0.7544,0.76042,0.57048,1.40193,0.000346556,0.000346556,0.000346556
77,2507.98,0.8834,0.68461,1.49178,0.89325,0.88385,0.93344,0.74823,0.76015,0.57918,1.4157,0.000339057,0.000339057,0.000339057
78,2542.39,0.88431,0.67765,1.49248,0.88776,0.87871,0.93107,0.74197,0.7578,0.57723,1.41436,0.000331558,0.000331558,0.000331558
79,2571.25,0.87223,0.6689,1.49526,0.8996,0.8787,0.93524,0.75134,0.76185,0.57384,1.42886,0.000324058,0.000324058,0.000324058
80,2605.29,0.88579,0.68326,1.49656,0.88288,0.89547,0.93655,0.74655,0.76334,0.56535,1.41237,0.000316559,0.000316559,0.000316559
81,2636.6,0.8635,0.6695,1.4866,0.8847,0.8904,0.9369,0.7427,0.7702,0.57539,1.42484,0.00030906,0.00030906,0.00030906
82,2670.04,0.87502,0.68044,1.49518,0.89577,0.89691,0.94189,0.7536,0.75584,0.56616,1.41289,0.000301561,0.000301561,0.000301561
83,2702.22,0.8657,0.67063,1.49413,0.89404,0.88419,0.93744,0.75068,0.75946,0.57183,1.4146,0.000294061,0.000294061,0.000294061
84,2733.04,0.86889,0.66964,1.48811,0.90729,0.87611,0.93966,0.76065,0.75029,0.56718,1.40525,0.000286562,0.000286562,0.000286562
85,2768.61,0.85852,0.66388,1.48574,0.90163,0.87684,0.93994,0.75377,0.75337,0.57321,1.41497,0.000279063,0.000279063,0.000279063
86,2801.05,0.85571,0.66644,1.48106,0.89946,0.8899,0.93913,0.75301,0.74393,0.57037,1.41307,0.000271564,0.000271564,0.000271564
87,2833.22,0.85838,0.66448,1.48126,0.89572,0.89425,0.94056,0.75604,0.75448,0.57045,1.41258,0.000264064,0.000264064,0.000264064
88,2864.22,0.87101,0.67192,1.49582,0.89969,0.88728,0.9377,0.7546,0.75507,0.56605,1.41309,0.000256565,0.000256565,0.000256565
89,2896.87,0.86196,0.66587,1.48604,0.91608,0.87175,0.94,0.75775,0.7506,0.56032,1.41926,0.000249066,0.000249066,0.000249066
90,2926.9,0.84909,0.65503,1.46646,0.89516,0.89655,0.94113,0.75667,0.74823,0.56569,1.4052,0.000241567,0.000241567,0.000241567
91,2963.68,0.85562,0.66197,1.48772,0.89542,0.89576,0.939,0.75955,0.74378,0.56261,1.41549,0.000234068,0.000234068,0.000234068
92,2994.18,0.86291,0.66736,1.48449,0.89062,0.89555,0.9423,0.76247,0.7397,0.56836,1.41498,0.000226568,0.000226568,0.000226568
93,3027.93,0.85227,0.65882,1.47493,0.9068,0.88413,0.94282,0.76286,0.73352,0.56087,1.40828,0.000219069,0.000219069,0.000219069
94,3061.61,0.84487,0.65062,1.48119,0.89915,0.8896,0.94127,0.76096,0.7372,0.56552,1.41455,0.00021157,0.00021157,0.00021157
95,3091.88,0.86031,0.6617,1.48728,0.90632,0.8876,0.94112,0.75905,0.73913,0.56518,1.41821,0.00020407,0.00020407,0.00020407
96,3125.43,0.84786,0.65361,1.47508,0.8976,0.89199,0.94227,0.76497,0.73422,0.55954,1.41274,0.000196571,0.000196571,0.000196571
97,3160.22,0.84096,0.64909,1.48006,0.89926,0.89561,0.94494,0.76581,0.72946,0.55073,1.41884,0.000189072,0.000189072,0.000189072
98,3189.46,0.83876,0.64844,1.47938,0.91035,0.88878,0.94335,0.76749,0.72831,0.55381,1.41478,0.000181573,0.000181573,0.000181573
99,3226.38,0.86211,0.66738,1.49343,0.91184,0.88803,0.94477,0.76826,0.73055,0.55276,1.4069,0.000174074,0.000174074,0.000174074
100,3257.14,0.8533,0.6594,1.4863,0.90878,0.89325,0.94381,0.76355,0.72887,0.55576,1.42265,0.000166574,0.000166574,0.000166574
101,3290.6,0.83957,0.64675,1.47997,0.89683,0.89964,0.94254,0.76396,0.73554,0.55719,1.41628,0.000159075,0.000159075,0.000159075
102,3323.21,0.83717,0.6465,1.47335,0.90902,0.89716,0.94554,0.76777,0.72932,0.55059,1.4124,0.000151576,0.000151576,0.000151576
103,3353.51,0.84308,0.64868,1.47367,0.90667,0.90067,0.94566,0.76796,0.72926,0.55438,1.42036,0.000144077,0.000144077,0.000144077
104,3389.53,0.82879,0.63785,1.46561,0.91001,0.89006,0.94346,0.77061,0.72508,0.55428,1.41432,0.000136577,0.000136577,0.000136577
105,3419.81,0.83172,0.63866,1.46745,0.90731,0.89062,0.94347,0.76905,0.72478,0.55181,1.41789,0.000129078,0.000129078,0.000129078
106,3450.31,0.8415,0.64991,1.47027,0.91253,0.89621,0.94508,0.76874,0.72556,0.55459,1.40941,0.000121579,0.000121579,0.000121579
107,3484.73,0.82368,0.63394,1.47106,0.90929,0.89534,0.94397,0.77232,0.72551,0.54644,1.41373,0.00011408,0.00011408,0.00011408
108,3514.32,0.81718,0.62875,1.45902,0.91165,0.89214,0.94579,0.771,0.72165,0.55168,1.41258,0.00010658,0.00010658,0.00010658
109,3549.69,0.81127,0.62957,1.45514,0.92072,0.88879,0.94854,0.77283,0.72005,0.54905,1.41754,9.9081e-05,9.9081e-05,9.9081e-05
110,3583.02,0.81584,0.62851,1.45888,0.91352,0.89196,0.94733,0.76718,0.72531,0.55321,1.41663,9.15818e-05,9.15818e-05,9.15818e-05
111,3616.62,0.73338,0.62077,1.3985,0.92116,0.87843,0.94484,0.76371,0.72344,0.54378,1.41392,8.40825e-05,8.40825e-05,8.40825e-05
112,3635.01,0.68319,0.51972,1.35628,0.92391,0.8857,0.94574,0.77239,0.71437,0.52749,1.40528,7.65832e-05,7.65832e-05,7.65832e-05
113,3653.89,0.66653,0.49629,1.36359,0.92238,0.88689,0.94621,0.77887,0.70592,0.52279,1.40486,6.9084e-05,6.9084e-05,6.9084e-05
114,3673.28,0.65513,0.49123,1.3624,0.92071,0.89679,0.95135,0.78435,0.69793,0.51548,1.41403,6.15848e-05,6.15848e-05,6.15848e-05
115,3691.16,0.65353,0.48738,1.36496,0.91904,0.90053,0.94944,0.78642,0.69271,0.51947,1.41317,5.40855e-05,5.40855e-05,5.40855e-05
116,3709.77,0.64885,0.48548,1.36097,0.91944,0.90095,0.95037,0.79083,0.69092,0.51501,1.41047,4.65862e-05,4.65862e-05,4.65862e-05
117,3728.2,0.64493,0.47896,1.35814,0.92607,0.8916,0.95099,0.79467,0.68706,0.50962,1.40721,3.9087e-05,3.9087e-05,3.9087e-05
118,3746.33,0.6392,0.47493,1.35346,0.92507,0.89969,0.95072,0.79446,0.68222,0.50817,1.41264,3.15878e-05,3.15878e-05,3.15878e-05
119,3763.96,0.63978,0.47434,1.35396,0.92713,0.89804,0.95077,0.79459,0.68109,0.50494,1.40737,2.40885e-05,2.40885e-05,2.40885e-05
120,3782.58,0.63453,0.4724,1.36163,0.9286,0.89838,0.95058,0.79654,0.67807,0.50455,1.40689,1.65892e-05,1.65892e-05,1.65892e-05
