"Table 3.12 refinery throughput and output of petroleum products, monthly data (thousand tonnes)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
March 2000,7408.39,429.54,9.29,6969.56,159.54,25.56,266.36,2125.78,515,312.75,991.94,1380.13,837.23,34.12,138.19
April 2000,7174.28,430.44,-114.02,6857.87,191.06,27.27,279.82,2051.89,561,309.79,853.57,1383.97,917.64,49.37,96.37
May 2000,7174.28,437.25,-68.15,6805.18,173,22.15,304.5,1976.84,596,175.73,853.34,1470.16,857.78,68,135.8
June 2000,7174.28,426.74,604.83,6142.72,166.29,23.86,212.65,1889.71,519,123.7,779.59,1394.41,738.05,66,131.67
July 2000,7281.74,440.81,381.01,6459.91,168.2,22.96,198.05,1849.71,589,184.79,850.14,1482.43,805.95,58.33,157.75
August 2000,7281.74,451.38,-234.63,7064.99,185.16,17.04,265.63,2007.18,651,184.16,922.89,1529.83,912.28,76.17,139.88
September 2000,7281.74,417.82,202.72,6661.2,135.2,18.75,214.21,1899.81,558,238.44,913.24,1510.06,795.23,74.32,122.67
October 2000,7473.34,443.88,97.91,6931.55,131.47,25.56,248.33,1981.65,513,308,930.55,1468.08,779.15,50.49,136.46
November 2000,7473.34,479.3,158.9,6835.14,139.81,27.27,255,1850.82,489,326,1003.25,1478.89,918.54,74.84,110.57
December 2000,7473.34,451.62,-46.28,7068,168.22,28.17,296.32,1862.14,516,283,937.15,1421.72,976.61,70.28,85.34
January 2001,7726.05,458.97,133.72,7133.36,161.09,50.23,250.8,1820.47,472.04,430.32,969.5,1515.33,1066.55,72.93,49.17
February 2001,6168.46,346.72,292.6,5529.15,126.88,46.98,318.7,1289.62,307.41,409.07,821.74,1154.49,742.21,69.23,120.85
March 2001,6782.4,409.53,211.17,6161.71,143.15,47.29,272.92,1610.48,433.31,326.25,895.6,1246.1,903.52,48.84,130.63
April 2001,6008.16,391.3,-117.92,5734.78,169.64,35.44,270.24,1566.45,460.6,218.35,751.6,1218.64,799.7,67.08,107.6
May 2001,6334.71,380.86,10.46,5943.39,165.62,17.72,234.79,1600.5,493.4,190.02,687.18,1183.9,986.75,54.15,124.08
June 2001,5719.36,360.1,112.7,5246.55,134.27,26.63,277.17,1394.31,467.19,133.02,643.16,1150.39,737.06,52.6,166.93
July 2001,7198.76,424.49,189.29,6584.98,174.65,33.03,362.98,1796.2,642.74,146.6,807.56,1408.19,819.43,43.49,178.76
August 2001,7437.52,484.66,39.27,6913.59,199.74,5.87,312.47,2014.18,620.47,199.29,911.15,1510.36,805.71,34.95,163.51
September 2001,7437.33,455.89,-42.78,7024.22,139.45,0.05,275.41,2139.02,586.37,238.11,910.61,1505.71,822.87,51.64,170.94
October 2001,7532.54,446.01,102.17,6984.36,100.6,2.94,317.05,2039.65,490.87,231.34,987.39,1557.76,862.34,49.29,168.67
November 2001,7505.2,443.25,217.36,6844.58,122.54,5.87,248.91,2113.68,484.16,243.04,963.71,1420.59,833.16,55.63,174.33
December 2001,7492.33,457.53,85.35,6949.46,125.82,0,286.08,2070.87,451.32,322.28,1004.13,1523.33,799.7,56.49,151.08
January 2002,7263.16,481.04,72.25,6709.86,168.85,49.68,259.99,1982.64,363.15,420.8,942.92,1473.77,793.28,40.66,46.86
February 2002,6657.03,458.85,102.86,6095.31,145.25,26.92,263.19,1778.82,383.64,357.18,894.01,1256.03,700.57,35.35,172.62
March 2002,7215.42,517.49,-23.36,6721.29,177.97,45.71,240.95,2015.17,411.83,407.47,1001.73,1393.75,710.24,52.83,157.45
April 2002,7149.49,441.46,192.09,6515.95,186.57,32.88,242.59,1899.39,390.41,256.85,924.85,1499.54,674.77,45.35,169.49
May 2002,7027.41,481.41,-28.18,6574.18,198.24,55.64,226.19,1971.92,476.81,240.51,860.1,1481.82,790.06,33.82,157.19
June 2002,6732.97,437.91,84.31,6210.74,195.35,54.74,204.72,1852.7,538.52,200.2,826.94,1479.11,536.92,56.75,172.02
July 2002,7403.21,411.45,-5.38,6997.14,211.96,56.73,259.86,1976.25,555.01,162.93,933.94,1628.56,740.07,49.83,204.54
August 2002,7222.04,516.95,128.54,6576.54,199.7,43.72,310.34,1940.69,459.34,204.39,910.15,1508.7,652.2,64.09,194.58
September 2002,7186.96,520.85,107.44,6558.66,152.43,43.72,236.26,2011.25,432.53,325.18,904.41,1495.46,687.67,17.17,177.85
October 2002,6464.86,507.03,1.16,5956.67,138.76,35.77,289.02,1815.97,500.02,247.04,805.84,1271.33,641.72,18.53,191.18
November 2002,6954.14,421.51,90.88,6441.76,156.42,47.69,292.64,1727.98,438.65,298.09,923.71,1361.63,829.56,43.39,152.11
December 2002,7507.24,481.05,65.65,6960.53,207.05,44.8,327.93,1971.26,414.68,385.26,1019.19,1546.17,748.94,51.27,122.14
January 2003,7160.97,522.09,-26.94,6665.82,206.47,52.15,338.62,2005.83,328,469.67,868.57,1357.56,764.5,45.15,51
February 2003,6898.37,491.38,117.19,6289.79,167.23,48.94,284.07,1848.16,331.27,406.02,876.5,1231.42,783.42,58.56,144.35
March 2003,7401.92,480.22,-45.51,6967.2,193.49,52.15,390.84,1963.26,453.69,350.04,1026.63,1428.41,773.8,29.7,157.44
April 2003,7043.95,409.35,-48.05,6682.65,204.47,100.41,347.78,1896.68,519.05,234.6,897.05,1454.46,754.08,45.37,87.83
May 2003,7607.07,429.34,-96.4,7274.12,239.04,50.09,280.5,2007.11,548.68,229.36,912,1571.23,786.36,48.83,340.31
June 2003,7080.99,403.14,142.85,6535,232.87,48.14,257.52,1886.4,465.43,173.4,839.27,1501.15,794.55,42.41,133.5
July 2003,6581.61,476.09,-57.76,6163.28,225.07,43.22,311.88,1766.72,476.48,177.47,796.5,1388.89,665.2,53.02,169.51
August 2003,7490.24,474.82,101.73,6913.69,191.21,60.45,211.79,2005.59,549.4,201.77,929.1,1540.12,817.12,48.09,165.6
September 2003,6488.57,416.27,30.91,6041.39,147.31,49.9,262.45,1698.86,443.1,277.62,751.08,1241.93,754.22,47.26,224.46
October 2003,6550.72,429.46,-120.23,6241.49,168.56,74.01,294.34,1808.85,409.32,267.46,847.52,1337.08,727.71,51.26,139.5
November 2003,6873.8,450.14,-6.27,6429.92,156.11,63.57,254.1,1810.38,362.6,317.17,881.26,1299.06,968.93,60.44,147.4
December 2003,7406.81,473.29,64.66,6868.87,149.56,73.03,269.67,1929.44,390.8,417.42,954.74,1448.41,904.51,45.78,163.37
January 2004,7216.96,441.9,32.79,6742.27,153.25,52.73,302.23,1964.18,373.88,447.04,910.78,1423.54,893.3,99.37,70.04
February 2004,6740.99,370.39,-8.49,6379.1,118.36,23.92,183.14,1769.57,342.97,392.48,895,1257.42,1018.43,70.35,192.7
March 2004,7456.28,440.55,48.49,6967.25,149.54,48.82,269.34,2049.79,426.9,387.57,1022.16,1422.18,873.01,87.45,138.15
April 2004,7519.02,471.58,-1.46,7048.89,227.15,58.62,282.81,2031.36,494.18,338.42,890.18,1443.32,891.71,91.95,182.23
May 2004,7611.28,476.66,-95.82,7230.45,236.82,37.63,266.21,2186.26,556.96,273.41,844.36,1454.69,939.05,92.91,196.57
June 2004,7086.28,464.92,12.6,6608.75,207.11,34.57,156.38,2129.51,581.92,186.87,748.18,1338.23,846.47,81.27,206.69
July 2004,7932.83,457.66,17.05,7458.12,231.46,40.83,262.94,2116.43,639.89,141.66,887.41,1547.42,1092.85,102.47,271.58
August 2004,7777.87,452.05,-66.81,7392.63,188.96,40.1,256.77,2102.3,559.25,176.04,969.13,1606.47,1029.69,117.09,232.28
September 2004,7295.02,405.67,-78.55,6967.89,146.06,43.89,242.72,1927.32,445.56,235.03,895.76,1481.16,1112.76,94.45,198.72
October 2004,7760.44,453.63,-39.81,7346.63,166.81,37.94,280.72,2089.16,452,299.39,988.85,1560.06,1002.18,116.28,173.54
November 2004,7619.1,494.79,184.67,6939.64,153.99,40.83,303.33,2056.27,396.8,337.87,1021.17,1505.3,702.48,92.98,200.22
December 2004,7804.52,487.89,-12.78,7329.41,170.75,59.92,361.73,2167.87,344.22,397.69,1006.54,1526.99,906.66,90.24,134.16
January 2005,7437.54,494.54,109.34,6833.65,88.69,43.34,281.09,1982.18,362.74,314.56,849.92,1592.36,990.37,85.15,69.86
February 2005,6238.76,424.29,-54.01,5868.48,142.89,23.55,222.32,1693.29,249.08,343.84,751.74,1344.6,736.75,81.7,130.78
March 2005,7301.99,460.24,99.19,6742.55,194.19,38.86,353.69,1770.8,347.77,382.87,879.24,1596.58,746.2,93.54,166.96
April 2005,6829.42,444.52,53.32,6331.58,215.84,33.41,213.24,1759.59,423.89,255.4,709.76,1553.71,793.91,98.69,119.07
May 2005,7195.67,463.92,68.46,6663.28,213.58,33.76,288.44,1806.8,508.45,210.12,679.84,1534.87,892.11,96.29,223.11
June 2005,6973.12,505.19,6.49,6461.44,207.55,34.05,229.7,1767.69,506.06,199.1,587.34,1598.5,910.64,85.87,184.36
July 2005,7751.32,475.68,19.45,7256.2,219.05,39.21,257.92,1941.9,568.33,148.08,867.33,1805.55,964.79,103.25,180.13
August 2005,7550.22,487.29,-112.87,7175.8,288.28,37.75,266.28,1965.89,565.02,191.23,784.83,1699.91,939.07,84.97,185.54
September 2005,7309.38,449.2,97.26,6762.91,132.84,36.47,208.43,2084.99,457.43,258.04,824.39,1593.7,759.92,86.48,177.16
October 2005,7309.42,462.11,35.21,6812.1,143.02,36.87,204.77,2044.99,499.22,225.47,752.05,1651.64,853.25,48.27,181.64
November 2005,6892.49,445.85,58.72,6387.92,173.5,34.84,226.22,1807.09,399.83,321.05,816.28,1519,746.67,36.17,152.12
December 2005,7344.94,488.47,6.92,6849.55,164.76,35.19,267.31,1978.56,279.28,475.12,927.13,1565.48,821.1,35.92,140.84
January 2006,7347.73,400.2,162.18,6785.35,231.02,52.03,303.16,1838.7,397.75,401.93,880.81,1396.65,1041.74,62.4,62.08
February 2006,6460.67,331.53,138.47,5990.68,200.96,48.18,299.41,1665.49,355.39,364.75,672.37,1215.33,891.86,48.47,128.49
March 2006,6304.26,381.29,-153.75,6076.73,194.71,45.33,275.48,1532.71,521.01,444.54,834.9,1046.66,822.27,48.14,154.13
April 2006,6530.1,425.26,3.5,6101.35,232.06,52.41,206.43,1624.22,483.26,277.17,849.49,1265.47,777.32,51.76,139.95
May 2006,7371.63,423.99,-160.59,7108.24,274.28,57.87,144.67,1981.07,570.25,399.92,824.2,1463.82,1056.64,26.12,165.26
June 2006,7080.53,436.34,31.2,6612.99,275.19,42.13,163.72,1804.21,699.59,135.31,861.49,1393.51,895.2,56.91,177.08
July 2006,7194.55,436.2,56.83,6701.53,250.36,46.09,174.87,1804.65,667.02,113.4,865.47,1476.57,906.62,72.19,176.25
August 2006,7439.16,437.08,40.16,6961.91,166.69,55.82,257.23,1861.06,727.01,154.17,913.03,1518.9,943.85,48.52,187.71
September 2006,6980.68,404.83,118.72,6457.13,53.08,63.41,206.33,1846.99,584.24,159.6,852.64,1289.91,1004.24,50.81,168.36
October 2006,6351.89,348.67,-19.13,6022.35,9.26,71.18,149.05,1852.41,402.85,258.52,673.57,1183.42,1081,57.08,120.08
November 2006,6712.3,400.85,69.84,6241.61,92.88,65.19,281.3,1771.53,372.67,349.85,866.93,1204.57,900.41,36.56,132.75
December 2006,7439.6,451.67,86.98,6900.95,123.81,61.12,272.24,1860.19,479.9,314.42,1120.46,1366.33,958.53,58.07,136.8
January 2007,7059.46,414.35,41.16,6603.96,177.24,70.61,273.45,1863.1,434.57,356.76,1017.58,1251.75,867.04,51.12,64.98
February 2007,5765.62,299.74,18.82,5447.06,132.72,40.53,317.08,1442.6,333.84,334.58,819.46,896.54,844.9,49.73,118.54
March 2007,6446.96,363.76,65.46,6017.74,198.7,49.1,175.61,1682.29,402.28,325.38,830.75,1298,724.52,32.54,146.85
April 2007,6889.63,388.36,18.86,6482.41,226.58,48.42,195.3,1807.5,533.74,223,793.99,1450.76,899.42,16.16,132.4
May 2007,7290.25,411.41,407.67,6471.18,232.57,55.02,178.46,1833.5,553.52,233.16,755.68,1422.27,943.45,23.93,87.48
June 2007,6926.45,399.83,-107.86,6634.48,240.04,36.21,160.46,1992.75,620.76,123.2,783.66,1543.47,726.73,61.57,211.93
July 2007,6819.94,411.02,-161.15,6570.08,212.79,37.66,133.8,1878.07,668.66,107.87,793.71,1565.15,760.07,102.26,164.57
August 2007,7306.92,417.23,26.66,6863.03,226.89,41.12,229.48,1890.5,679.51,171.06,901.71,1478.33,837.34,67.41,158.49
September 2007,6915.08,384.55,4.27,6526.27,108.57,26.2,209.42,1885.86,567.42,141.07,825.8,1465.69,945.35,35.33,163.25
October 2007,6965.25,401.16,72.77,6491.32,129.02,38.64,195.57,1818.27,566.26,281.17,849.94,1242.19,1080.27,17.19,140.77
November 2007,6435.47,394.25,-19.13,6060.35,178.75,39.4,214.2,1651.91,363.62,337.41,950.05,1232.54,804.49,19.51,128.64
December 2007,6656.18,389.94,-74.74,6340.98,195.41,34.04,277.76,1566.99,452.13,333.55,842.45,1291.48,999.4,70.65,109.88
January 2008,6686.27,390.9,66.15,6229.22,190.36,39.24,417.02,1425.43,433.81,356.43,772.16,1265.24,1036.52,67.92,57.11
February 2008,5951.85,373.72,60.86,5517.27,174.02,26.61,162.6,1489.12,381.46,337.6,823.72,998.19,855.4,23.42,110.76
March 2008,6873.35,411.41,119.63,6342.31,191.05,27.73,248.76,1672.59,483.27,346.61,1004.18,1104.76,936.93,43.73,134.19
April 2008,6761.69,398.75,28.78,6334.15,227,31.13,265.59,1660.59,494.61,303.04,800.22,1330.88,944.08,63.21,115.62
May 2008,6645.26,384.82,7.33,6253.11,210.99,24.8,222.81,1593.84,531.96,207.22,838.75,1340.9,967.28,44.39,162.68
June 2008,7325.37,404.09,102.04,6819.24,222.17,31.44,240.46,1732.46,670.34,124.92,915.85,1526.16,1019.52,28.31,145.67
July 2008,6855.72,408.79,-45.68,6492.62,233.82,29.84,157.64,1706.3,736.12,118.91,901.85,1475.46,732.41,48.52,133.85
August 2008,7137.14,395.88,36.47,6704.79,228.54,24,258.29,1726.85,771.38,125.5,869.3,1461.33,852.3,36.83,155.78
September 2008,6906.52,370.39,-9.6,6545.73,152.56,28.85,256.4,1583.83,642.28,189.82,984.24,1437.46,860.53,62.9,132.49
October 2008,6651.19,364.06,3.77,6283.36,135.15,28.96,136.07,1624.94,538.35,287.21,925.39,1438.77,775.49,35.22,132.88
November 2008,6143.16,378.26,23.98,5740.92,133.13,31.39,94.84,1536.59,394.51,319.81,779.99,1436.73,702.29,22.55,100.59
December 2008,7096.08,425.11,76.4,6594.57,151.71,44.72,199.78,1768.52,470.6,374.23,950.56,1534.17,800.66,37.09,103.42
January 2009,6885.83,433.5,141.3,6311.03,170.11,34.31,228.64,1717.66,487.6,354.26,910.29,1399.24,802.59,17.31,29.23
February 2009,6280.62,372.83,62.72,5845.07,169.3,30.15,338.81,1455.26,373.42,384.98,840.07,1171.9,812.7,20.06,80.96
March 2009,6554.99,343.77,50.97,6160.24,177.49,46.1,286.53,1576.14,455.53,292.23,871.33,1395.47,711.64,43.74,109.3
April 2009,5956.91,352.99,175.74,5428.19,191.92,32.99,177.05,1545.58,454.43,224.34,701.46,1278.14,547.66,23.38,106.04
May 2009,6138.3,323.43,-14.75,5829.62,204.38,30.9,174.99,1633.88,545.34,148.12,747.57,1357.66,662.6,38.84,139.65
June 2009,6230.88,351.84,29.16,5849.89,213.46,36.57,208.9,1549.13,577.44,119.98,735.95,1363.14,719.34,29.02,131.16
July 2009,6643.23,357.42,20.46,6265.35,208.59,39.62,189.18,1654.08,672.67,107.08,777.62,1456.58,772.07,48.52,147.15
August 2009,6483.75,360.84,25.27,6097.64,199.13,42.16,177.22,1691.06,625.76,122.6,832.32,1389.51,611.97,62.05,130.49
September 2009,6105.39,324.5,9.15,5771.74,98.39,37.51,150,1626.17,515.55,227.1,711,1366.63,618.66,98.03,155.57
October 2009,5836.5,326.49,99.53,5410.48,169.66,38.27,206.85,1479.61,411.98,254.01,776.6,1189.75,582.97,23.35,99.7
November 2009,5943.35,358.79,118.2,5466.36,150.04,38,159.62,1510.74,460.62,243.03,820.45,1175.34,550.03,73.57,108.99
December 2009,6490.82,397.78,5.27,6087.76,160.51,41.94,208.97,1745.1,441.4,352.47,762.43,1364.86,650.94,51.91,99.6
January 2010,5907.94,328.92,66.43,5512.59,140.71,45.97,341.63,1564.38,384.93,365.15,643.46,1221.11,542.94,34.08,18.64
February 2010,5473.29,284.83,121.22,5067.23,124.97,42.81,310.83,1432.79,356.91,331.1,614.72,1014.08,546.42,35.21,72.33
March 2010,6189.35,327.85,169.55,5691.96,190.79,47.31,182.88,1556.16,453.86,266.18,796.65,1210.67,619.26,63.8,91.35
April 2010,5758.21,354.06,93.61,5310.53,202.41,54.05,150.92,1508.44,434.66,189.58,823.88,1118.51,510.63,12.57,118.59
May 2010,6214.68,354.99,48.29,5811.4,228.17,42.39,191.45,1600.31,490.82,177.87,846.3,1244.36,594.84,17.81,122.91
June 2010,6384.06,385.53,71.39,5927.14,209.67,44.14,156.45,1607.5,616.11,86.84,791.06,1489.82,587.95,17.15,133.87
July 2010,6421.79,380.73,5.87,6035.19,225.06,47.2,184.31,1640.3,590.72,123.5,860.36,1374.17,612.28,35.27,145.1
August 2010,6413.14,412.34,17.94,5982.86,209.03,53.86,167.6,1630.02,622.34,147.24,825.39,1371.22,565.56,41.49,136.95
September 2010,6056.02,380.39,-74.13,5749.76,150.79,32.05,156.73,1598.36,522.23,153.62,819.97,1357.33,631.32,26.34,123.89
October 2010,6386.1,393.84,22.77,5969.49,171.7,35.81,163.46,1739.54,460.53,207.47,829.17,1351.56,617.89,57.49,145.89
November 2010,6192.6,388.14,28.81,5775.65,192.87,37.92,200.35,1652.92,426.92,238.36,852.8,1239.56,600.8,29.87,98.54
December 2010,6145.66,386.21,-5.99,5765.44,200.86,34.13,233.51,1543.37,420.69,282.74,800.99,1339.98,574.24,41.38,68.35
January 2011,6579,413.29,121.08,4461.85,226.11,33.59,272.9,1654.43,454.02,298.06,884.38,1478.9,602.57,45.41,67.18
February 2011,5665.5,356.94,17.47,3536.83,187.31,28.86,321.27,1332.56,381.38,220.76,607.63,1290.4,662.18,6.32,95.78
March 2011,5961.53,372.08,10.52,4267.04,173.32,31.14,257.69,1317.71,475.86,223.3,636.81,1227.36,723.32,45.7,140.92
April 2011,6539.98,399.65,17.87,4518.31,244.59,36.9,216.3,1643.9,534.23,208.74,760.46,1414.72,674.51,34.62,132.41
May 2011,6560.86,415.04,52.15,4283.17,261.72,38.5,201.31,1622.56,622.65,97.92,754.71,1500.39,698.61,59.96,65
June 2011,6200.74,382.22,33.96,4455.97,243.14,42.23,158.64,1501.13,606.04,111.36,637.63,1413.07,696.93,21.57,197.64
July 2011,6594.1,400.6,56.74,4725.26,269.48,43.54,216.22,1577.9,685.97,132.2,780.75,1459.37,661.14,36.87,153.89
August 2011,6666.61,396.54,19.46,5063.57,253.79,35.29,178.87,1643.6,671.61,143.31,827.85,1441.8,662.73,22.48,152.22
September 2011,6136.21,378.22,8.97,4913.72,197.38,40.48,157.69,1614.91,564.86,193.99,773.04,1336.96,483.11,50.11,115.49
