OBJECTID,SPECIES,TAXONNAME,GENUS,CLASS,COMPCLASS,MAXDIAM,MORPHOLOGY_1,MORPHOLOGY_2,HABITAT_1,HABITAT_2,HABITAT_3,EXPOSED,HIGHENERGY,SAMOA,MARIANAS_,HAWAII,JOHNSTON,LINE,PHOENIX,WAKE,MARIANAS,KINGDOM,PHYLUM,S_ORDER,FAMILY,SCIENTIFIC_NAME,APHIAID,AUTHORITY,RANK,CITATION,FULL_CLASSIFICATION,URL,GENCODE,INACTIVE_FLAG_YN,NEW_SPECIES,ADU_FLAG_YN,JUV_FLAG_YN
94,FSTE,Favia stelligera,Favia,Anthozoa,Favia,,columnar,,shallow reef environments,,,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Other,Animalia,Cnidaria,Scleractinia,Faviidae,Favia stelligera,207441,"(Dana, 1846)",Species,"WoRMS (2010). Favia stelligera (Dana, 1846). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207441 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Favia (Genus) > Favia stelligera (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207441,FASP,0,,-1,0
95,FUDA,Fungia danai,Fungia,Anthozoa,Fungia,,free-living,,reef slopes,lagoons,,No,No,No,No,No,No,Yes,No,No,Other,Animalia,Cnidaria,Scleractinia,Fungiidae,Fungia danai,207343,Edwards & Haime,Species,WoRMS (2010). Fungia danai Edwards & Haime. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207343 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Fungiidae (Family) > Fungia (Genus) > Fungia danai (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207343,FUSP,0,,0,0
96,FUSP,Fungia sp,Fungia,Anthozoa,Fungia,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Other,Animalia,Cnidaria,Scleractinia,Fungiidae,Fungia sp,206375,,Genus,,,,FUSP,0,,-1,-1
97,GARS,Gardineroseris sp,Gardineroseris,Anthozoa,Gardineroseris,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No,Goniastrea,Animalia,Cnidaria,Scleractinia,Agariciidae,,,,Genus,,,,GARS,0,,0,-1
98,GASP,Galaxea sp,Galaxea,Anthozoa,Galaxea,,,,,,,,,Yes,Yes,No,No,No,No,No,Other,Animalia,Cnidaria,Scleractinia,Oculinidae,Galaxea sp,205332,,Genus,,,,GASP,0,,-1,-1
99,GEDW,Goniastrea edwardsi,Goniastrea,Anthozoa,Goniastrea,,massive,,shallow subtidal communities,,,No,No,Yes,Yes,No,No,Yes,No,Yes,Other,Animalia,Cnidaria,Scleractinia,Merulinidae,Goniastrea edwardsi,207466,"Chevalier, 1971",Species,"WoRMS (2010). Goniastrea edwardsi Chevalier, 1971. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207466 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Goniastrea (Genus) > Goniastrea edwardsi (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207466,GONS,0,,-1,0
100,GFAS,Galaxea fascicularis,Galaxea,Anthozoa,Galaxea,,massive,columnar,protected reef environments,,,No,No,Yes,Yes,No,No,No,No,No,Other,Animalia,Cnidaria,Scleractinia,Oculinidae,Galaxea fascicularis,207366,"(Linnaeus, 1767)",Species,"WoRMS (2010). Galaxea fascicularis (Linnaeus, 1767). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207366 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Oculinidae (Family) > Galaxea (Genus) > Galaxea fascicularis (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207366,GASP,0,,0,0
101,GFRU,Goniopora fruticosa,Goniopora,Anthozoa,Goniopora,,encrusting,branching,upper reef slopes,,,No,No,Yes,Yes,No,No,No,No,No,Other,Animalia,Cnidaria,Scleractinia,Poritidae,Goniopora fruticosa,288272,"Saville-Kent, 1891",Species,"WoRMS (2010). Goniopora fruticosa Saville-Kent, 1891. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=288272 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Poritidae (Family) > Goniopora (Genus) > Goniopora fruticosa (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=288272,GOSP,0,,0,0
102,GLOB,Goniopora lobata,Goniopora,Anthozoa,Goniopora,,columnar,branching,,,,No,No,No,Yes,No,No,No,No,No,Other,Animalia,Cnidaria,Scleractinia,Poritidae,Goniopora lobata,207208,Milne Edwards & Haime,Species,WoRMS (2010). Goniopora lobata. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207208 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Poritidae (Family) > Goniopora (Genus) > Goniopora lobata (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207208,GOSP,0,,0,0
103,GMIN,Goniopora minor,Goniopora,Anthozoa,Goniopora,,massive,encrusting,shallow subtidal communities,lagoons,,No,No,No,Yes,No,No,No,No,No,Goniastrea,Animalia,Cnidaria,Scleractinia,Poritidae,Goniopora minor,207217,Crossland,Species,WoRMS (2010). Goniopora minor Crossland. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207217 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Poritidae (Family) > Goniopora (Genus) > Goniopora minor (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207217,GOSP,0,,0,0
104,GOAL,Goniopora/Alveopora,,Anthozoa,Goniopora/Alveopora,,,,,,,,,Yes,Yes,No,No,No,No,No,Other,Animalia,Cnidaria,Scleractinia,,,,,,,,,GOAL,-1,,0,0
105,GOAS,Goniastrea aspera,Goniastrea,Anthozoa,Goniastrea,0,submassive,encrusting,,,,,,Yes,,,,,,,,Animalia,Cnidaria,Scleractinia,Faviidae,Goniastrea aspera,207467,"Verrill, 1905",Species,"WoRMS (2010). Goniastrea aspera Verrill, 1905. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207467 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Goniastrea (Genus) > Goniastrea aspera (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207467,GONS,0,,0,0
106,GONS,Goniastrea sp,Goniastrea,Anthozoa,Goniastrea,,,,,,,,,Yes,Yes,No,No,Yes,Yes,Yes,Goniastrea,Animalia,Cnidaria,Scleractinia,Faviidae,,,,Genus,,,,GONS,0,,-1,-1
107,GOSP,Goniopora sp,Goniopora,Anthozoa,Goniopora,,,,,,,,,Yes,Yes,No,No,No,No,No,Other,Animalia,Cnidaria,Scleractinia,Poritidae,,,,Genus,,,,GOSP,0,,-1,-1
108,GPEC,Goniastrea pectinata,Goniastrea,Anthozoa,Goniastrea,,massive,encrusting,shallow reef environments,,,No,No,Yes,Yes,No,No,Yes,No,Yes,Goniastrea,Animalia,Cnidaria,Scleractinia,Faviidae,Goniastrea pectinata,207464,"(Ehrenberg, 1834)",Species,"WoRMS (2010). Goniastrea pectinata (Ehrenberg, 1834). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207464 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Goniastrea (Genus) > Goniastrea pectinata (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207464,GONS,0,,-1,0
109,GPLA,Gardineroseris planulata,Gardineroseris,Anthozoa,Gardineroseris,,massive,encrusting,walls/under overhangs,,,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Other,Animalia,Cnidaria,Scleractinia,Agariciidae,Gardineroseris planulata,207274,"(Dana, 1846)",Species,WoRMS (2010). Gardineroseris planulata. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207274 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Agariciidae (Family) > Gardineroseris (Genus) > Gardineroseris planulata (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207274,GARS,0,,-1,0
110,GRET,Goniastrea retiformis,Goniastrea,Anthozoa,Goniastrea,,massive,columnar,intertidal environments,,,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Other,Animalia,Cnidaria,Scleractinia,Merulinidae,Goniastrea retiformis,207461,"(Lamarck, 1816)",Species,"WoRMS (2010). Goniastrea retiformis (Lamarck, 1816). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207461 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Goniastrea (Genus) > Goniastrea retiformis (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207461,GONS,0,,-1,0
111,HASP,Halomitra sp,Halomitra,Anthozoa,Halomitra,,,,,,,,,Yes,Yes,No,No,Yes,Yes,No,Other,Animalia,Cnidaria,Scleractinia,Fungiidae,,,,Genus,,,,HASP,0,,-1,-1
112,HCOE,Heliopora coerulea,Heliopora,Anthozoa,Heliopora,,branching,,intertidal environments,,,No,No,Yes,Yes,No,No,No,No,No,Other,Animalia,Cnidaria,Helioporacea,Helioporidae,Heliopora coerulea,210725,"(Pallas, 1766)",Species,"van Ofwegen, L. (2010). Heliopora coerulea (Pallas, 1766). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=210725 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Octocorallia (Subclass) > Helioporacea (Order) > Helioporidae (Family) > Heliopora (Genus) > Heliopora coerulea (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=210725,HESP,0,,-1,0
113,HERS,Herpolitha sp,Herpolitha,Anthozoa,Herpolitha,,free-living,,shallow reef environments,,,No,No,Yes,Yes,No,No,Yes,Yes,No,Other,Animalia,Cnidaria,Scleractinia,Fungiidae,Herpolitha sp,205695,,Genus,,,,HERS,0,,-1,-1
114,HESP,Heliopora sp,Heliopora,Anthozoa,Heliopora,,,,,,,,,Yes,Yes,No,No,No,No,No,Other,Animalia,Cnidaria,Helioporacea,Helioporidae,,,,Genus,,,,HESP,0,,0,-1
115,HEST,Heteractis/Stichodactyla,,Anthozoa,Heteractis/Stichodactyla,,polyp ,,,,,,,No,Yes,Yes,,Yes,Yes,,Other,Animalia,Cnidaria,Actiniaria,,,,,,,,,HEST,-1,,0,0
116,HETS,Heteractis sp,Heteractis,Anthozoa,Heteractis,,polyp ,,,,,,,No,Yes,Yes,,Yes,Yes,,Other,Animalia,Cnidaria,Actiniaria,Stichodactylidae,,,,Genus,,,,HETS,0,,0,0
117,HEXE,Hydnophora exesa,Hydnophora,Anthozoa,Hydnophora,,massive,encrusting,all reef environments,protected reef environments,,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Other,Animalia,Cnidaria,Scleractinia,Merulinidae,Hydnophora exesa,207403,"(Pallas, 1766)",Species,"WoRMS (2010). Hydnophora exesa (Pallas, 1766). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207403 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Merulinidae (Family) > Hydnophora (Genus) > Hydnophora exesa (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207403,HYSP,0,,-1,0
119,HLIM,Herpolitha limax,Herpolitha,Anthozoa,Herpolitha,0,solitary,,,,,,,Yes,Yees,No,,Yes,Yes,,,Animalia,Cnidaria,Scleractinia,Fungiidae,Herpolitha limax,207363,"Houttuyn, 1772",Species,"WoRMS (2010). Herpolitha limax Houttuyn, 1772. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207363 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Fungiidae (Family) > Herpolitha (Genus) > Herpolitha limax (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207363,HERS,0,,0,0
120,HMIC,Hydnophora microconos,Hydnophora,Anthozoa,Hydnophora,,massive,,all reef environments,lagoons,protected reef environments,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Other,Animalia,Cnidaria,Scleractinia,Merulinidae,Hydnophora microconos,207402,"(Lamarck, 1816)",Species,WoRMS (2010). Hydnophora microconos. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207402 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Merulinidae (Family) > Hydnophora (Genus) > Hydnophora microconos (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207402,HYSP,0,,-1,0
121,HPIL,Halomitra pileus,Halomitra,Anthozoa,Halomitra,,free-living,,reef slopes,lagoons,Soft inter-reef substrates,No,No,Yes,No,No,No,Yes,Yes,No,Other,Animalia,Cnidaria,Scleractinia,Fungiidae,Halomitra pileus,207361,"(Linnaeus, 1758)",Species,WoRMS (2010). Halomitra pileus. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207361 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Fungiidae (Family) > Halomitra (Genus) > Halomitra pileus (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207361,HASP,0,,0,0
122,HRIG,Hydnophora rigida,Hydnophora,Anthozoa,Hydnophora,,branching,encrusting,shallow reef environments,lagoons,protected reef environments,No,No,Yes,Yes,No,No,No,Yes,No,Leptastrea,Animalia,Cnidaria,Scleractinia,Merulinidae,Hydnophora rigida,207406,"(Dana, 1846)",Species,WoRMS (2010). Hydnophora rigida. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207406 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Merulinidae (Family) > Hydnophora (Genus) > Hydnophora rigida (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207406,HYSP,0,,-1,0
123,HYSP,Hydnophora sp,Hydnophora,Anthozoa,Hydnophora,,,,,,,,,Yes,Yes,No,No,Yes,Yes,Yes,Other,Animalia,Cnidaria,Scleractinia,Merulinidae,Hydnophora sp,204976,,Genus,,,,HYSP,0,,-1,-1
128,LBEW,Leptastrea bewickensis,Leptastrea,Anthozoa,Leptastrea,,massive,encrusting,protected reef environments,,,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Other,Animalia,Cnidaria,Scleractinia,Faviidae,Leptastrea bewickensis,287822,"Veron, Pichon & Best, 1977",Species,"WoRMS (2010). Leptastrea bewickensis Veron, Pichon & Best, 1977. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=287822 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Leptastrea (Genus) > Leptastrea bewickensis (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=287822,LEPT,0,,-1,0
129,LCOR,Lobophyllia corymbosa,Lobophyllia,Anthozoa,Lobophyllia,,massive,encrusting,upper reef slopes,,,No,No,Yes,Yes,No,No,Yes,Yes,No,Other,Animalia,Cnidaria,Scleractinia,Mussidae,Lobophyllia corymbosa,207391,"(Forskal, 1775)",Species,WoRMS (2010). Lobophyllia corymbosa. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207391 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Mussidae (Family) > Lobophyllia (Genus) > Lobophyllia corymbosa (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207391,LOBS,0,,0,0
130,LECY,Leptastrea/Cyphastrea,,Anthozoa,Leptastrea/Cyphastrea,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Other,Animalia,Cnidaria,Scleractinia,,,,,,,,,LECY,-1,,0,0
132,LEPA,Leptoseris/Pachyseris/Gardineroseris/Coeloseris,,Anthozoa,Leptoseris/Pachyseris/Gardineroseris/Coeloseris,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Leptastrea,Animalia,Cnidaria,Scleractinia,,,,,,,,,LEPA,-1,,0,0
133,LEPS,Leptoria sp,Leptoria,Anthozoa,Leptoria,,,,,,,,,Yes,Yes,No,No,Yes,No,Yes,Other,Animalia,Cnidaria,Scleractinia,Faviidae,,,,Genus,,,,LEPS,0,,0,-1
134,LEPT,Leptastrea sp,Leptastrea,Anthozoa,Leptastrea,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Other,Animalia,Cnidaria,Scleractinia,Faviidae,Leptastrea sp,204278,,Genus,,,,LEPT,0,,-1,-1
135,LESP,Leptoseris sp,Leptoseris,Anthozoa,Leptoseris,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Leptastrea,Animalia,Cnidaria,Scleractinia,Agariciidae,Leptoseris sp,206048,,Genus,,,,LESP,0,,-1,-1
136,LHEM,Lobophyllia hemprichii,Lobophyllia,Anthozoa,Lobophyllia,,encrusting,massive,upper reef slopes,,,No,No,Yes,Yes,No,No,Yes,No,Yes,Other,Animalia,Cnidaria,Scleractinia,Mussidae,Lobophyllia hemprichii,207392,"(Ehrenberg, 1834)",Species,"WoRMS (2010). Lobophyllia hemprichii (Ehrenberg, 1834). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207392 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Mussidae (Family) > Lobophyllia (Genus) > Lobophyllia hemprichii (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207392,LOBS,0,,0,0
