index	name	abbreviation	mapping
48	ctx-lh-caudalanteriorcingulate	ctxlhcaudalanteriorcingulate	1002
49	ctx-lh-caudalmiddlefrontal	ctxlhcaudalmiddlefrontal	1003
50	ctx-lh-cuneus	ctxlhcuneus	1005
51	ctx-lh-entorhinal	ctxlhentorhinal	1006
52	ctx-lh-fusiform	ctxlhfusiform	1007
53	ctx-lh-inferiorparietal	ctxlhinferiorparietal	1008
54	ctx-lh-inferiortemporal	ctxlhinferiortemporal	1009
55	ctx-lh-isthmuscingulate	ctxlhisthmuscingulate	1010
56	ctx-lh-lateraloccipital	ctxlhlateraloccipital	1011
57	ctx-lh-lateralorbitofrontal	ctxlhlateralorbitofrontal	1012
58	ctx-lh-lingual	ctxlhlingual	1013
59	ctx-lh-medialorbitofrontal	ctxlhmedialorbitofrontal	1014
60	ctx-lh-middletemporal	ctxlhmiddletemporal	1015
61	ctx-lh-parahippocampal	ctxlhparahippocampal	1016
62	ctx-lh-paracentral	ctxlhparacentral	1017
63	ctx-lh-parsopercularis	ctxlhparsopercularis	1018
64	ctx-lh-parsorbitalis	ctxlhparsorbitalis	1019
65	ctx-lh-parstriangularis	ctxlhparstriangularis	1020
66	ctx-lh-pericalcarine	ctxlhpericalcarine	1021
67	ctx-lh-postcentral	ctxlhpostcentral	1022
68	ctx-lh-posteriorcingulate	ctxlhposteriorcingulate	1023
69	ctx-lh-precentral	ctxlhprecentral	1024
70	ctx-lh-precuneus	ctxlhprecuneus	1025
71	ctx-lh-rostralanteriorcingulate	ctxlhrostralanteriorcingulate	1026
72	ctx-lh-rostralmiddlefrontal	ctxlhrostralmiddlefrontal	1027
73	ctx-lh-superiorfrontal	ctxlhsuperiorfrontal	1028
74	ctx-lh-superiorparietal	ctxlhsuperiorparietal	1029
75	ctx-lh-superiortemporal	ctxlhsuperiortemporal	1030
76	ctx-lh-supramarginal	ctxlhsupramarginal	1031
77	ctx-lh-frontalpole	ctxlhfrontalpole	1032
78	ctx-lh-temporalpole	ctxlhtemporalpole	1033
79	ctx-lh-transversetemporal	ctxlhtransversetemporal	1034
80	ctx-lh-insula	ctxlhinsula	1035
81	ctx-rh-bankssts	ctxrhbankssts	2001
82	ctx-rh-caudalanteriorcingulate	ctxrhcaudalanteriorcingulate	2002
83	ctx-rh-caudalmiddlefrontal	ctxrhcaudalmiddlefrontal	2003
84	ctx-rh-cuneus	ctxrhcuneus	2005
85	ctx-rh-entorhinal	ctxrhentorhinal	2006
86	ctx-rh-fusiform	ctxrhfusiform	2007
87	ctx-rh-inferiorparietal	ctxrhinferiorparietal	2008
88	ctx-rh-inferiortemporal	ctxrhinferiortemporal	2009
89	ctx-rh-isthmuscingulate	ctxrhisthmuscingulate	2010
90	ctx-rh-lateraloccipital	ctxrhlateraloccipital	2011
91	ctx-rh-lateralorbitofrontal	ctxrhlateralorbitofrontal	2012
92	ctx-rh-lingual	ctxrhlingual	2013
93	ctx-rh-medialorbitofrontal	ctxrhmedialorbitofrontal	2014
94	ctx-rh-middletemporal	ctxrhmiddletemporal	2015
95	ctx-rh-parahippocampal	ctxrhparahippocampal	2016
96	ctx-rh-paracentral	ctxrhparacentral	2017
97	ctx-rh-parsopercularis	ctxrhparsopercularis	2018
98	ctx-rh-parsorbitalis	ctxrhparsorbitalis	2019
99	ctx-rh-parstriangularis	ctxrhparstriangularis	2020
100	ctx-rh-pericalcarine	ctxrhpericalcarine	2021
101	ctx-rh-postcentral	ctxrhpostcentral	2022
102	ctx-rh-posteriorcingulate	ctxrhposteriorcingulate	2023
103	ctx-rh-precentral	ctxrhprecentral	2024
104	ctx-rh-precuneus	ctxrhprecuneus	2025
105	ctx-rh-rostralanteriorcingulate	ctxrhrostralanteriorcingulate	2026
106	ctx-rh-rostralmiddlefrontal	ctxrhrostralmiddlefrontal	2027
107	ctx-rh-superiorfrontal	ctxrhsuperiorfrontal	2028
108	ctx-rh-superiorparietal	ctxrhsuperiorparietal	2029
109	ctx-rh-superiortemporal	ctxrhsuperiortemporal	2030
110	ctx-rh-supramarginal	ctxrhsupramarginal	2031
111	ctx-rh-frontalpole	ctxrhfrontalpole	2032
112	ctx-rh-temporalpole	ctxrhtemporalpole	2033
113	ctx-rh-transversetemporal	ctxrhtransversetemporal	2034
114	ctx-rh-insula	ctxrhinsula	2035
